Name,Father Name,Roll Number,Mathematics*,Science*,English*,Urdu*,Islamiat*,Pakistan Studies*,Computer Science*,Physics*,Chemistry*,Biology*,Geography*,History*,Economics*,Business Studies*,Accounting*,Art*,Music*,Physical Education*,Sindhi*,Arabic*,Total Marks,Obtain Marks,Percentage,Status,Grade,Academic Year
Nicole Kumar,M. Joseph,COM-0038,96,-,82,-,-,87,51,0,92,91,72,76,-,34,-,-,84,97,27,-,1300,767,59.00,PASS,D,2024-2025
Zainab Brown,Raj,SC-0039,62,54,13,-,-,-,-,40,81,90,-,-,-,22,78,-,-,22,70,-,1000,423,42.30,PASS,E,2024-2025
Hafsa Chen,M. Nadeem,2024-0040,16,-,23,95,42,55,65,24,9,82,-,-,75,71,51,-,12,29,27,-,1500,751,50.07,PASS,D,2024-2025
Amanda Mehta,M. Richard,STU-0041,42,-,86,-,50,-,67,95,69,42,28,-,-,76,62,-,61,60,-,-,1200,602,50.17,PASS,D,2024-2025
Nicole Mehta,M. Hussain,2024-0042,6,-,33,62,-,62,38,-,87,44,90,-,58,54,52,31,42,31,96,-,1500,703,46.87,PASS,E,2024-2025
Robert Huang,Ashok,2024-0043,-,94,8,89,-,-,-,97,-,48,-,73,32,98,79,51,-,1,-,72,1200,456,38.00,PASS,E,2024-2025
Zain Rodriguez,M. Vikram,COM-0044,100,27,-,36,18,73,0,96,15,42,-,-,76,56,89,47,37,5,73,55,1700,872,51.29,PASS,D,2024-2025
Emily Mehta,M. Suresh,ARTS-0045,-,4,40,-,21,37,17,56,29,-,30,14,18,-,-,7,93,31,-,36,1400,865,61.79,PASS,C,2024-2025
Mohammad Shah,Charles,24-0046,-,43,45,-,94,10,31,90,61,-,15,41,36,3,43,96,44,52,-,19,1600,798,49.88,PASS,E,2024-2025
Daniel Chen,Abdul,STU-0047,-,70,62,-,56,54,-,-,34,-,-,45,12,54,40,58,34,-,80,2,1300,711,54.69,PASS,D,2024-2025
William Miller,M. Suresh,ARTS-0048,-,65,-,-,-,9,42,60,-,89,92,-,74,-,-,40,93,24,57,84,1200,646,53.83,PASS,D,2024-2025
Sana Zhang,Mr. Arun,2024-0049,-,38,77,-,54,17,70,-,82,-,-,62,-,75,-,34,9,14,59,67,1300,614,47.23,PASS,E,2024-2025
Fatima Huang,M. Vikram,ARTS-0050,65,15,32,-,-,33,-,-,15,-,-,14,75,51,5,-,-,83,-,-,1000,539,53.90,PASS,D,2024-2025
Charles Mehta,M. Nadeem,2024-0051,22,33,12,40,16,5,-,0,-,82,-,13,78,-,22,-,88,95,-,80,1400,502,35.86,PASS,E,2024-2025
Aisha Singh,M. Mohammad,2024-0052,4,7,28,24,74,-,-,93,-,-,-,29,-,88,-,41,48,95,15,64,1300,735,56.54,PASS,D,2024-2025
Zainab Singh,M. Sunil,COM-0053,-,81,69,-,81,98,-,38,97,90,6,-,49,-,13,-,75,50,70,80,1400,752,53.71,PASS,D,2024-2025
Rabia Zhou,Vikram,SCI-0054,53,-,28,29,-,-,41,25,84,-,-,16,12,43,97,-,97,-,40,46,1300,550,42.31,PASS,E,2024-2025
William Hussain,Manoj,2024-0055,0,-,19,50,68,85,-,-,-,26,42,-,81,-,-,12,-,58,71,-,1100,444,40.36,PASS,E,2024-2025
Aisha Kumar,M. Mohammad,2024-0056,87,6,37,-,65,19,100,-,79,61,47,2,82,-,6,76,9,-,-,57,1500,941,62.73,PASS,C,2024-2025
Nicole Smith,James,ARTS-0057,-,48,59,42,59,-,96,15,66,74,71,84,58,31,56,-,34,54,49,46,1700,684,40.24,PASS,E,2024-2025
Zain Wu,M. Richard,STU-0058,-,-,5,84,33,-,-,84,48,81,75,32,15,77,0,-,4,2,21,45,1500,761,50.73,PASS,D,2024-2025
Ahmed Ali,Mr. Arun,SC-0059,50,5,48,-,-,-,10,97,-,17,-,33,70,-,92,79,-,68,46,66,1300,678,52.15,PASS,D,2024-2025
Hira Wang,M. Hassan,COM-0060,97,19,-,46,93,70,-,23,63,77,-,-,-,30,-,72,79,73,56,-,1300,745,57.31,PASS,D,2024-2025
David Rodriguez,Mr. James,24-0061,-,69,29,44,85,80,22,-,6,-,35,31,-,-,-,-,-,20,-,-,1000,390,39.00,PASS,E,2024-2025
Nicole Kumar,M. Joseph,SCI-0062,42,50,87,66,-,9,55,-,-,20,6,68,19,64,-,52,35,53,-,12,1500,935,62.33,PASS,C,2024-2025
Michael Mirza,Mr. Nadeem,SC-0063,9,-,-,67,59,96,61,35,-,76,60,59,-,13,87,92,50,90,-,-,1400,885,63.21,PASS,C,2024-2025
John Johnson,M. Raj,COM-0064,-,48,15,78,38,19,74,-,2,38,45,32,59,-,36,67,9,-,23,22,1600,961,60.06,PASS,C,2024-2025
Daniel Khan,M. Nadeem,COM-0065,42,63,81,25,41,-,-,7,-,52,-,38,61,2,97,70,25,94,31,93,1600,825,51.56,PASS,D,2024-2025
Ahmed Miller,M. Thomas,ARTS-0066,32,-,96,-,65,-,20,95,8,38,61,15,52,66,6,28,92,76,17,-,1600,1083,67.69,PASS,C,2024-2025
Zainab Li,Usman,COM-0067,61,-,16,31,91,-,89,-,57,-,29,29,-,-,-,51,41,-,77,13,1200,542,45.17,PASS,E,2024-2025
Bilal Zhao,M. Hussain,SCI-0068,58,21,19,-,-,23,44,-,-,84,36,-,5,-,63,58,75,-,4,5,1300,705,54.23,PASS,D,2024-2025
Bilal Mirza,Mr. Hassan,SCI-0069,-,-,74,-,-,75,73,52,65,-,1,62,25,20,-,77,32,24,41,-,1300,530,40.77,PASS,E,2024-2025
Emily Khan,Mr. Richard,2024-0070,56,43,37,-,19,-,-,-,88,93,-,1,16,68,75,5,57,-,23,36,1400,797,56.93,PASS,D,2024-2025
Jessica Gupta,William,SC-0071,46,16,3,98,67,0,-,75,-,74,37,-,95,-,-,-,-,100,-,62,1200,650,54.17,PASS,D,2024-2025
Mohammad Garcia,Mr. Kamran,24-0072,20,-,40,99,3,67,12,21,56,83,-,-,-,76,78,-,59,-,65,-,1300,685,52.69,PASS,D,2024-2025
Nicole Reddy,Mr. Manoj,ARTS-0073,51,55,39,92,57,96,84,43,-,12,17,0,-,39,44,52,100,97,-,79,1700,1010,59.41,PASS,D,2024-2025
Omar Mehta,M. Hassan,SC-0074,79,-,-,-,71,48,50,1,29,-,13,-,4,-,-,37,44,11,19,12,1300,753,57.92,PASS,D,2024-2025
Fatima Raza,Mr. Richard,SCI-0075,-,56,5,23,60,-,-,11,20,71,73,73,78,80,-,-,91,-,32,-,1300,681,52.38,PASS,D,2024-2025
Amanda Jain,Mr. Suresh,24-0076,18,18,33,82,35,-,-,16,32,43,90,-,97,-,-,21,98,27,10,87,1500,697,46.47,PASS,E,2024-2025
Usman Baig,M. James,2024-0077,8,7,10,-,97,-,100,93,7,54,69,-,-,39,85,60,-,-,94,61,1400,714,51.00,PASS,D,2024-2025
Michelle Mehta,James,STU-0078,48,1,-,-,47,19,6,25,99,-,28,-,4,91,6,17,80,-,3,19,1500,585,39.00,PASS,E,2024-2025
Bilal Gupta,Abdul,STU-0079,41,-,66,100,-,29,96,42,42,26,-,67,33,35,58,32,10,-,-,-,1400,780,55.71,PASS,D,2024-2025
Jessica Zhang,Mr. Usman,24-0080,43,-,82,32,59,27,-,13,-,-,96,-,100,99,-,82,-,-,7,42,1200,759,63.25,PASS,C,2024-2025
Noor Malik,Kamran,COM-0081,21,100,29,92,92,70,62,73,17,26,-,-,43,-,95,58,-,-,-,18,1400,641,45.79,PASS,E,2024-2025
Omar Ahmed,M. Thomas,24-0082,69,-,99,7,24,81,74,83,95,-,91,-,-,87,75,90,4,-,45,-,1400,656,46.86,PASS,E,2024-2025
Laura Baig,Mr. Manoj,2024-0083,-,77,46,48,28,22,92,40,14,19,62,78,-,-,28,-,21,-,9,18,1500,703,46.87,PASS,E,2024-2025
Charles Davis,Mr. Mohammad,24-0084,19,56,20,28,-,55,29,-,22,50,92,71,-,47,11,33,97,51,98,-,1600,1068,66.75,PASS,C,2024-2025
Mohammad Williams,Hussain,SCI-0085,42,-,-,-,25,95,-,90,70,26,-,26,37,88,34,51,56,-,93,50,1400,565,40.36,PASS,E,2024-2025
Maryam Baig,M. James,SC-0086,-,-,75,62,60,-,32,-,-,96,17,43,54,57,71,70,1,37,74,91,1500,1059,70.60,PASS,B,2024-2025
Omar Wang,M. Kamran,STU-0087,-,3,34,21,34,-,84,99,10,13,73,26,56,99,91,-,-,37,-,38,1500,726,48.40,PASS,E,2024-2025
Michael Miller,Mr. Raj,24-0088,28,29,-,9,76,-,-,32,0,89,37,29,20,56,63,11,74,-,4,70,1600,599,37.44,PASS,E,2024-2025
James Yang,M. Michael,SCI-0089,-,-,39,42,17,88,-,88,-,18,57,67,-,69,77,-,-,24,27,-,1200,604,50.33,PASS,D,2024-2025
Zain Singh,Ali,2024-0090,81,24,-,-,68,60,-,80,-,-,96,23,98,47,28,100,71,41,70,2,1500,772,51.47,PASS,D,2024-2025
Michael Khan,M. William,24-0091,76,56,-,-,5,83,-,75,94,10,18,88,36,11,83,-,88,89,51,38,1600,770,48.13,PASS,E,2024-2025
Hussain Rao,Mr. Usman,SC-0092,18,49,77,31,-,14,81,8,46,-,65,19,-,38,-,83,90,90,6,73,1600,941,58.81,PASS,D,2024-2025
Sadia Reddy,William,2024-0093,-,95,43,42,22,30,25,39,84,-,91,78,13,-,8,-,79,26,67,44,1600,820,51.25,PASS,D,2024-2025
Hafsa Reddy,M. Richard,ARTS-0094,-,100,-,10,54,63,5,47,-,-,75,86,28,59,72,53,-,6,1,66,1500,584,38.93,PASS,E,2024-2025
Daniel Hussain,Mr. Ravi,ARTS-0095,36,52,86,48,-,16,91,31,-,45,92,-,71,31,-,-,23,93,61,96,1500,543,36.20,PASS,E,2024-2025
Sana Reddy,Mr. Hussain,ARTS-0096,96,-,13,40,51,-,58,36,42,61,72,98,-,-,38,40,-,72,26,54,1500,881,58.73,PASS,D,2024-2025
Hussain Baig,Mr. Usman,SCI-0097,27,22,76,92,16,12,28,-,82,76,40,4,-,58,67,-,-,46,63,76,1600,947,59.19,PASS,D,2024-2025
Zain Yang,Mr. Hassan,ARTS-0098,-,92,-,71,1,-,8,2,-,99,-,-,7,96,15,38,70,-,86,7,1300,464,35.69,PASS,E,2024-2025
Hira Mirza,Richard,SC-0099,-,52,-,66,4,-,23,-,82,73,-,9,-,33,93,86,56,17,19,59,1400,520,37.14,PASS,E,2024-2025
Michelle Davis,Mr. William,2024-0100,69,-,-,41,95,78,7,70,72,84,-,9,-,16,11,-,56,31,81,53,1500,791,52.73,PASS,D,2024-2025
Thomas Zhao,M. Michael,STU-0101,-,-,82,75,-,66,67,-,-,5,95,56,-,57,-,74,-,17,29,42,1200,500,41.67,PASS,E,2024-2025
Hira Sharma,Manoj,2024-0102,67,10,58,-,63,81,21,-,80,39,70,-,-,20,53,-,28,-,71,54,1400,658,47.00,PASS,E,2024-2025
Maryam Zhang,M. Abdul,STU-0103,16,26,-,-,-,34,91,46,26,17,61,-,92,98,-,-,94,30,20,-,1300,485,37.31,PASS,E,2024-2025
Noor Singh,M. Joseph,STU-0104,-,-,1,-,-,-,-,-,-,-,28,-,56,13,76,21,6,29,45,5,1000,344,34.40,PASS,E,2024-2025
Hafsa Zhao,Mr. Joseph,24-0105,-,-,100,2,36,95,38,-,80,-,-,89,79,62,61,-,88,-,47,-,1200,626,52.17,PASS,D,2024-2025
Hira Williams,Suresh,2024-0106,77,68,3,51,33,-,-,80,49,-,-,-,19,75,-,78,-,87,-,9,1200,548,45.67,PASS,E,2024-2025
Sadia Jones,M. Thomas,2024-0107,58,-,58,-,34,13,48,25,1,-,-,96,32,-,2,-,-,-,45,-,1100,564,51.27,PASS,D,2024-2025
Zain Liu,Kamran,2024-0108,97,0,93,8,-,-,94,68,27,-,95,1,-,-,94,19,56,86,65,-,1400,827,59.07,PASS,D,2024-2025
Rabia Raza,M. Arun,SCI-0109,76,76,-,49,-,76,75,14,-,-,76,34,-,9,6,63,-,13,1,8,1400,578,41.29,PASS,E,2024-2025
Ali Chen,Joseph,2024-0110,-,-,94,80,33,50,84,-,-,71,26,16,73,51,51,35,51,-,36,16,1500,963,64.20,PASS,C,2024-2025
Noor Rao,Abdul,SC-0111,89,-,83,-,52,52,-,82,22,62,-,52,-,34,38,99,92,83,40,48,1500,753,50.20,PASS,D,2024-2025
Hafsa Mirza,Mr. Robert,SCI-0112,19,92,33,24,33,25,89,-,-,2,-,-,25,2,55,12,71,50,99,10,1600,923,57.69,PASS,D,2024-2025
Fatima Reddy,Mr. Arun,STU-0113,80,30,82,99,56,11,47,48,-,75,38,-,8,15,-,25,16,48,89,-,1600,810,50.63,PASS,D,2024-2025
Fatima Zhou,M. Thomas,SC-0114,78,-,66,-,53,96,6,81,10,38,38,25,31,99,79,-,7,57,9,83,1700,915,53.82,PASS,D,2024-2025
Hira Reddy,Abdul,COM-0115,26,0,43,-,19,-,17,94,37,-,83,-,60,-,11,-,-,57,56,26,1300,781,60.08,PASS,C,2024-2025
Bilal Wu,Mr. Suresh,ARTS-0116,-,1,29,0,28,29,-,73,6,89,92,60,47,-,52,-,-,63,-,-,1300,691,53.15,PASS,D,2024-2025
Laura Li,M. Daniel,COM-0117,90,-,-,8,70,33,50,36,64,-,27,33,21,65,-,62,-,11,-,95,1400,536,38.29,PASS,E,2024-2025
Sana Smith,Mr. Daniel,COM-0118,38,86,47,48,-,73,91,8,36,-,-,13,-,67,92,75,6,27,93,97,1600,831,51.94,PASS,D,2024-2025
Jennifer Yang,Mr. Charles,ARTS-0119,82,32,61,20,7,24,8,-,70,61,-,23,-,88,95,25,-,-,44,29,1500,608,40.53,PASS,E,2024-2025
Michelle Jones,M. Michael,COM-0120,87,4,-,73,28,21,-,-,8,1,84,-,79,-,-,-,55,31,71,-,1200,506,42.17,PASS,E,2024-2025
Laura Miller,William,SC-0121,95,-,93,-,2,61,76,39,12,7,6,-,-,42,68,-,-,-,-,-,1100,565,51.36,PASS,D,2024-2025
David Verma,M. Michael,ARTS-0122,34,-,59,37,93,82,66,86,7,-,38,93,75,-,5,78,-,49,72,93,1600,703,43.94,PASS,E,2024-2025
Robert Brown,M. Robert,24-0123,76,99,69,23,70,44,57,-,17,54,4,68,47,23,90,64,80,-,100,9,1800,950,52.78,PASS,D,2024-2025
Aisha Kumar,M. Ravi,24-0124,100,58,13,65,-,-,59,86,83,8,-,-,87,52,-,14,36,34,-,63,1400,607,43.36,PASS,E,2024-2025
John Ahmed,Mr. Mohammad,STU-0125,-,6,42,88,-,45,70,4,90,20,-,42,7,-,12,86,90,55,22,-,1500,608,40.53,PASS,E,2024-2025
Omar Verma,Michael,24-0126,17,-,52,-,-,-,-,40,-,-,18,84,59,-,58,64,67,-,35,26,1100,534,48.55,PASS,E,2024-2025
Hassan Chen,M. Robert,STU-0127,84,-,4,25,-,12,94,39,61,28,79,-,-,55,41,62,99,92,84,17,1600,786,49.13,PASS,E,2024-2025
Hussain Khan,James,2024-0128,-,79,27,2,-,54,-,53,6,-,85,-,-,-,82,59,-,24,-,-,1000,490,49.00,PASS,E,2024-2025
Usman Ali,Mr. Sunil,COM-0129,-,-,63,64,61,-,-,47,2,-,38,95,63,21,-,-,31,-,-,45,1100,397,36.09,PASS,E,2024-2025
Michael Mirza,Mr. Usman,COM-0130,-,95,31,65,75,98,20,92,-,-,99,6,-,-,38,-,-,94,74,16,1300,699,53.77,PASS,D,2024-2025
Hira Wang,M. William,SCI-0131,-,27,2,-,64,-,32,60,38,20,-,16,38,-,26,90,16,42,60,-,1400,687,49.07,PASS,E,2024-2025
Aisha Rao,Mr. Suresh,24-0132,55,0,72,91,15,17,85,-,100,81,9,-,61,-,69,-,-,20,19,60,1500,771,51.40,PASS,D,2024-2025
Zainab Wu,M. Richard,COM-0133,50,72,82,-,-,-,27,16,24,58,98,59,48,-,-,-,24,28,41,-,1300,639,49.15,PASS,E,2024-2025
Yusuf Chen,M. Vikram,SC-0134,34,-,24,62,-,73,58,-,44,-,60,-,64,58,-,47,62,-,43,-,1200,631,52.58,PASS,D,2024-2025
Laura Qureshi,Manoj,STU-0135,86,45,-,-,6,-,87,53,-,46,47,-,-,82,47,50,-,50,76,39,1300,815,62.69,PASS,C,2024-2025
Hassan Miller,Mr. Sunil,STU-0136,86,-,6,93,5,-,7,-,-,-,17,7,-,94,70,-,76,-,-,-,1000,529,52.90,PASS,D,2024-2025
Hira Garcia,Mr. Vikram,STU-0137,13,25,13,34,81,42,81,56,9,11,-,58,80,39,-,-,60,-,75,46,1600,693,43.31,PASS,E,2024-2025
Fatima Ahmed,Mr. Sunil,SC-0138,-,26,-,72,-,21,13,-,85,52,-,66,-,-,8,92,100,-,-,84,1100,661,60.09,PASS,C,2024-2025
Omar Jain,Arun,2024-0139,-,-,-,31,-,55,-,-,-,75,-,46,-,-,-,24,-,5,-,23,700,262,37.43,PASS,E,2024-2025
Maryam Ahmed,Nadeem,SCI-0140,80,-,61,0,-,-,43,-,16,48,61,0,50,-,-,-,47,17,73,50,1300,564,43.38,PASS,E,2024-2025
Jessica Patel,M. Nadeem,COM-0141,-,27,66,63,40,79,42,65,90,73,-,-,81,36,7,-,22,69,100,55,1600,728,45.50,PASS,E,2024-2025
Nicole Wilson,M. Manoj,24-0142,36,61,-,-,61,84,-,36,-,90,92,85,91,0,-,21,-,100,77,-,1300,597,45.92,PASS,E,2024-2025
William Jain,Mr. Anil,24-0143,75,28,56,28,88,47,19,76,-,7,46,-,65,-,-,0,53,-,12,47,1500,812,54.13,PASS,D,2024-2025
Elizabeth Garcia,Arun,24-0144,-,57,24,10,34,58,73,-,-,-,3,-,-,11,36,4,13,-,5,62,1300,623,47.92,PASS,E,2024-2025
Omar Mirza,Mr. Charles,ARTS-0145,76,-,57,9,33,68,-,3,6,13,-,91,35,-,2,13,-,84,7,-,1400,926,66.14,PASS,C,2024-2025
Michael Gupta,Mr. Raj,24-0146,15,-,2,27,-,-,12,-,61,80,81,3,-,-,72,40,30,65,51,0,1400,927,66.21,PASS,C,2024-2025
Hafsa Zhou,Mr. Michael,COM-0147,61,-,41,30,100,40,-,17,1,-,47,85,86,18,67,87,21,-,78,-,1500,794,52.93,PASS,D,2024-2025
Emily Jones,Charles,2024-0148,54,53,52,30,46,56,5,99,-,74,33,68,-,11,-,-,28,98,93,74,1600,701,43.81,PASS,E,2024-2025
Elizabeth Zhang,Mr. Hassan,24-0149,-,72,41,30,3,9,68,-,72,81,6,44,89,13,81,77,28,-,25,-,1600,866,54.13,PASS,D,2024-2025
David Khan,Raj,SC-0150,47,26,31,-,-,4,-,-,-,34,-,45,-,-,84,18,92,-,50,52,1100,570,51.82,PASS,D,2024-2025
David Mehta,Kamran,SCI-0151,-,-,65,81,-,32,18,34,51,-,28,48,50,-,85,72,43,32,97,49,1500,831,55.40,PASS,D,2024-2025
Noor Mirza,M. Charles,24-0152,95,-,92,27,20,68,23,-,59,77,23,91,27,69,58,-,-,-,59,12,1500,752,50.13,PASS,D,2024-2025
Fatima Jain,Mr. Thomas,2024-0153,99,77,77,73,-,94,26,-,67,-,68,10,89,49,97,-,8,63,92,89,1600,824,51.50,PASS,D,2024-2025
Nicole Jain,Mr. Ahmed,ARTS-0154,-,62,74,-,56,46,65,-,-,39,44,63,55,13,12,27,92,-,97,-,1400,820,58.57,PASS,D,2024-2025
Nicole Malik,M. Mohammad,2024-0155,44,8,-,60,60,92,-,87,73,79,-,-,11,-,8,-,-,46,65,-,1200,605,50.42,PASS,D,2024-2025
Sadia Rao,Mr. Ahmed,ARTS-0156,68,86,54,34,-,12,-,-,48,18,45,-,-,17,45,-,0,-,-,8,1200,557,46.42,PASS,E,2024-2025
Amanda Wang,Anil,24-0157,-,8,-,92,9,84,-,90,-,-,-,11,-,-,61,86,11,40,41,85,1200,402,33.50,PASS,E,2024-2025
Hassan Smith,Mr. Ahmed,COM-0158,100,5,98,70,24,35,21,42,92,64,95,-,79,54,93,27,25,60,18,17,1900,902,47.47,PASS,E,2024-2025
Amanda Zhao,Mr. Arun,SC-0159,81,94,35,-,93,20,29,-,33,71,-,-,-,55,16,31,-,-,10,-,1200,702,58.50,PASS,D,2024-2025
John Davis,Charles,ARTS-0160,-,74,-,-,94,54,24,59,-,17,7,26,23,26,44,72,64,62,11,19,1600,600,37.50,PASS,E,2024-2025
Rabia Jain,M. Mohammad,COM-0161,52,-,1,70,23,53,91,-,37,60,-,-,37,33,55,35,66,-,45,-,1400,504,36.00,PASS,E,2024-2025
Nicole Hussain,M. Ahmed,2024-0162,81,91,45,74,-,25,20,34,56,-,34,94,22,32,20,-,47,84,24,16,1700,708,41.65,PASS,E,2024-2025
Usman Rodriguez,Sunil,24-0163,-,-,64,56,23,-,42,69,45,-,-,-,-,27,-,95,-,72,75,-,1000,440,44.00,PASS,E,2024-2025
Hussain Wilson,Mr. David,ARTS-0164,-,72,-,85,21,16,51,30,-,65,75,-,-,28,-,-,21,-,26,-,1100,399,36.27,PASS,E,2024-2025
Amanda Verma,M. Michael,2024-0165,92,63,20,-,60,33,24,-,91,-,81,99,71,76,19,-,-,24,29,53,1500,576,38.40,PASS,E,2024-2025
Yusuf Qureshi,M. Mohammad,STU-0166,31,36,54,35,70,-,5,48,-,59,38,-,5,66,-,51,13,39,49,31,1600,837,52.31,PASS,D,2024-2025
